STT|Mã MH|Tên môn học|TC|Khoa/BM quản lí|Ghi chú
1|202252|Vật lí 1|2|KHOA HỌC|
2|202253|Thí nghiệm Vật lý 1|1|KHOA HỌC|
3|202354|Thí nghiệm Hóa ĐC 1|1|KHOA HỌC|
4|202453|Thực hành Sinh học 1|1|KHOA HỌC|
5|202452|Sinh học 1|2|KHOA HỌC|
6|212339|Kỹ năng giao tiếp|2|MÔI TRƯỜNG & TN|
7|214101|Tin học đại cương|3|CNTT|Chỉ áp dụng cho SV chuyên ngành CNTT khóa 2013 trở về trước
8|214101|Tin học đại cương|3|CNTT|
9|214377|Data Warehouse|4|CNTT|
10|210316|KT lạnh & UD lạnh trong CNTP|2|CN THỰC PHẨM|Chỉ áp dụng cho SV khoa Thủy sản
11|206512|Vệ sinh & an toàn thực phẩm TS|2|THỦY SẢN|
12|206515|Xử lý chất thải trong CBTS|2|THỦY SẢN|
13|206505|"Nước cấp, nước thải trong CBTS"|2|THỦY SẢN|
14|210316|Nhiệt kỹ thuật thực phẩm|2|CN THỰC PHẨM|Chỉ áp dụng cho SV khoa Thủy sản
15|203105|Sinh hóa chuyên ngành|2|CN THÚ Y|Chỉ áp dụng cho SV khoa Thủy sản
16|212110|Khoa học môi trường|2|MÔI TRƯỜNG & TN|Chỉ áp dụng cho SV khoa Thủy sản
17|206407|Anh văn chuyên ngành|2|THỦY SẢN|
18|206417|Kinh tế sản xuất thủy sản|2|THỦY SẢN|
19|203421|Dược lý lâm sàng|4|CN THÚ Y|
20|203526|Công nghệ sinh học ứng dụng|2|CN THÚ Y|
21|203526|Công nghệ sinh học ứng dụng|2|CN THÚ Y|
22|203422|Thực tập xí nghiệp dược|2|CN THÚ Y|
23|203914|Báo cáo chuyên đề|2|CN THÚ Y|
24|203301|Cơ thể đại cương|3|CN THÚ Y|
25|203302|Cơ thể học so sánh|2|CN THÚ Y|
26|203312|Chăn nuôi và môi trường|2|CN THÚ Y|
27|203303|Vệ sinh an toàn thực phẩm|4|CN THÚ Y|
28|203528|Bệnh truyền nhiễm gia cầm|2|CN THÚ Y|
29|203601|Thực tế chăn nuôi |2|CN THÚ Y|
30|203208|Thống kê ứng dụng trong SH|3|CN THÚ Y|
31|203213|Di truyền chuyên ngành A|2|CN THÚ Y|
32|203513|Chăn nuôi thú hoang dã|2|CN THÚ Y|
33|203902|Thực tập trang trại CN|2|CN THÚ Y|
34|203153|Cơ thể học & s.lý hệ VĐ & da|3|CN THÚ Y|Áp dụng cho SV CNTY Chương trình tiên tiến
35|203553|Nguyên lí bệnh I|4|CN THÚ Y|Áp dụng cho SV CNTY Chương trình tiên tiến
36|203953|Anh văn chuyên ngành I|3|CN THÚ Y|Áp dụng cho SV CNTY từ CT tiên tiến chuyển sang Tiếng Việt
37|203954|Anh văn chuyên ngành II|3|CN THÚ Y|Áp dụng cho SV CNTY từ CT tiên tiến chuyển sang Tiếng Việt
38|217104|Nhiệt kỹ thuật |2|CN HÓA HỌC|
39|217102|Hóa lý CNHH|3|CN HÓA HỌC|
40|217701|TN hóa hữu cơ nâng cao|2|CN HÓA HỌC|
41|217702|TN hóa vô cơ nâng cao|2|CN HÓA HỌC|
42|217103|Tinh chất công nghệ vật liệu|2|CN HÓA HỌC|
43|217221|Công nghệ màng lọc|2|CN HÓA HỌC|
44|217402|Khoa học đất và phân bón|2|CN HÓA HỌC|
45|217505|Thực phẩm chức năng|2|CN HÓA HỌC|
46|217407|CN vật liệu & cao su|3|CN HÓA HỌC|
47|217602|Kỹ thuật hệ thống sinh học|3|CN HÓA HỌC|
48|211107|Công nghệ SH đại cương|2|CN SINH HỌC|Chỉ áp dụng cho SV Bộ môn CNSH
49|202403|Đa dạng sinh học|2|KHOA HỌC|Chỉ áp dụng cho chương trình liên thông ngành CNSH
50|203203|Di truyền học đại cương|3|CN THÚ Y|Chỉ áp dụng cho SV Bộ môn CNSH(khóa 2013 trở về trước)
51|203104|Sinh hóa đại cương|3|CN THÚ Y|Chỉ áp dụng cho SV CNSH khóa 2013 trở về trước
52|211122|Sinh thái học cơ bản|2|CN SINH HỌC|Chỉ áp dụng cho SV chuyên ngành CNSH Môi trường từkhóa 2013 trở về trước
53|211416|Đánh giá ô nhiễm|2|CN SINH HỌC|Chỉ áp dụng cho SV Bộ môn CNSH(khóa 2013 trở về trước)
54|211416|Thực tập đánh giá ô nhiễm|1|CN SINH HỌC|Chỉ áp dụng cho SV Bộ môn CNSH(khóa 2013 trở về trước)
55|211512|Kinh nghiệm vi sinh thực phẩm|2|CN SINH HỌC|Chỉ áp dụng cho SV Bộ môn CNSH(khóa 2013 trở về trước)
56|203511|Miễn dịch học đại cương|3|CN THÚ Y|Chỉ áp dụng cho SV Bộ môn CNSH(khóa 2013 trở về trước)
57|212109|Quản lí tài nguyên thiên nhiên|2|MÔI TRƯỜNG & TN|Chỉ áp dụng cho SV Bộ môn CNSH(khóa 2013 trở về trước)
58|211131|Hóa độc chất môi trường|3|CN SINH HỌC|Chỉ áp dụng cho SV Bộ môn CNSH(khóa 2013 trở về trước)
59|211132|Thực hành hóa Độc chất MT|1|CN SINH HỌC|Chỉ áp dụng cho SV Bộ môn CNSH(khóa 2013 trở về trước)
60|205610|Công nghệ bảo quản gỗ|2|LÂM NGHIỆP|
61|205813|Dự toán công trình nội thất|2|LÂM NGHIỆP|
62|204205|Chọn giống cây trồng|2|NÔNG HỌC|
63|202403|Đa dạng sinh học|2|KHOA HỌC|
64|202412|Sinh thái học|2|KHOA HỌC|
65|208438|Quản trị dự án|2|KINH TẾ|
66|204606|Khí tượng đại cương|2|NÔNG HỌC|
67|216103|Giá thể và DD cây trồng|3|MÔI TRƯỜNG & TN|
68|216103|Giá thể và DD cây trồng|3|MÔI TRƯỜNG & TN|
69|216113|Sâu bệnh hại hoa kiểng|2|MÔI TRƯỜNG & TN|
70|204715|Bệnh cây đại cương|3|NÔNG HỌC|
71|216318|UD tr.học Đ.phương trong TKCQ|2|MÔI TRƯỜNG & TN|
72|208114|Luật kinh tế|2|KINH TẾ|
73|208902|Khóa luận tốt nghiệp|10|KINH TẾ|
74|208529|Kiến tập chuyên ngành PT|2|KINH TẾ|
75|208902|Khóa luận tốt nghiệp|10|KINH TẾ|
76|208444|Marketing nông nghiệp|2|KINH TẾ|
77|208616|Tiếng anh chuyên ngành|3|KINH TẾ|
78|208902|Khóa luận tốt nghiệp|10|KINH TẾ|
79|208902|Khóa luận tốt nghiệp|10|KINH TẾ|
80|208403|Phương pháp NCKH Quản trị|2|KINH TẾ|
81|208621|Phương pháp NCKH TN_MT|2|KINH TẾ|
82|208468|Phương pháp nghiên cứu KH|2|KINH TẾ|
83|205221|Kinh tế tài nguyên môi trường|3|LÂM NGHIỆP|
84|208349|Ngoại ngữ chuyên ngành|3|KINH TẾ|
85|209509|Phong thủy ứng dụng|3|QUẢN LÝ ĐĐ & BĐS|
86|208223|Kinh tế lượng ứng dụng|2|KINH TẾ|
87|208518|Hệ thống thông tin quản lý|3|KINH TẾ|
88|208501|Dự án phát triển|3|KINH TẾ|
89|208504|Quản trị dự án lâm nghiệp|2|KINH TẾ|
90|208902|Khóa luận tốt nghiệp|10|KINH TẾ|
91|208911|Kế toán tài chính 4|3|KINH TẾ|
92|208912|Kế toán tài chính 5|3|KINH TẾ|
93|213201|Theory of translation|3|NGOẠI NGỮ SƯ PHẠM|
94|215106|Tiếng Việt thực hành|2|NGOẠI NGỮ SƯ PHẠM|
95|213501|Introduction to Literature|2|NGOẠI NGỮ SƯ PHẠM|
96|213502|British Studies|2|NGOẠI NGỮ SƯ PHẠM|
97|213503|American Studies|2|NGOẠI NGỮ SƯ PHẠM|
98|213504|British Literature|3|NGOẠI NGỮ SƯ PHẠM|
99|213505|American Literature|3|NGOẠI NGỮ SƯ PHẠM|
100|213506|Lịch sử văn minh phương Tây|2|NGOẠI NGỮ SƯ PHẠM|
101|213507|Lịch sử văn minh phương Đông|2|NGOẠI NGỮ SƯ PHẠM|
102|213902|Phương pháp nghiên cứu KH|2|NGOẠI NGỮ SƯ PHẠM|
103|213302|Education Psychology|3|NGOẠI NGỮ SƯ PHẠM|
104|213303|TESOL methodology 1|3|NGOẠI NGỮ SƯ PHẠM|
105|213304|TESOL methodology 2|3|NGOẠI NGỮ SƯ PHẠM|
106|213305|Classroom Obvervation|3|NGOẠI NGỮ SƯ PHẠM|
107|213306|Teaching pratice|3|NGOẠI NGỮ SƯ PHẠM|
108|213908|Tổng hợp chuyên ngành|3|NGOẠI NGỮ SƯ PHẠM|
109|209223|Phân tích và thiết kế HTTTNĐ|3|QUẢN LÝ ĐĐ & BĐS|
110|209102|Trắc địa địa chính|3|QUẢN LÝ ĐĐ & BĐS|
111|209106|Trắc địa ảnh hàng không|3|QUẢN LÝ ĐĐ & BĐS|
112|209107|Viễn thám cơ sở|3|QUẢN LÝ ĐĐ & BĐS|
113|209108|Viễn thám ứng dụng|2|QUẢN LÝ ĐĐ & BĐS|
114|209112|Bản đồ địa hình|2|QUẢN LÝ ĐĐ & BĐS|
115|209115|Kỹ thuật bản đồ số|2|QUẢN LÝ ĐĐ & BĐS|
116|209121|Luư trữ sơ đồ địa hình|2|QUẢN LÝ ĐĐ & BĐS|
117|209202|Kinh tế đất đai|2|QUẢN LÝ ĐĐ & BĐS|
118|209409|Quản lý sàn giao dịch BĐS|2|QUẢN LÝ ĐĐ & BĐS|
119|209416|Nguyên lý bất động sản|2|QUẢN LÝ ĐĐ & BĐS|
120|209404|Luật đầu tư|2|QUẢN LÝ ĐĐ & BĐS|
121|209215|Luật xây dựng và luật nhà ở|2|QUẢN LÝ ĐĐ & BĐS|
122|209215|Luật xây dựng và luật nhà ở|2|QUẢN LÝ ĐĐ & BĐS|
123|209406|Đăng ký thông kê đất đai|2|QUẢN LÝ ĐĐ & BĐS|
124|209406|Đăng ký thông kê đất đai|2|QUẢN LÝ ĐĐ & BĐS|
125|209216|Bồi thường giải phóng mặt bằng|2|QUẢN LÝ ĐĐ & BĐS|
126|209301|Tài nguyên đất đai|3|QUẢN LÝ ĐĐ & BĐS|
127|209304|Quy hoạch tổng thể KT-XH|2|QUẢN LÝ ĐĐ & BĐS|
128|209306|Quy hoạch đô thị|3|QUẢN LÝ ĐĐ & BĐS|
129|209307|Quy hoạch phát triển nông thôn|2|QUẢN LÝ ĐĐ & BĐS|
130|204306|Nông học đại cương|2|NÔNG HỌC|
131|203608|Nông học đại cương|2|NÔNG HỌC|
132|204919|Phương pháp tiếp cận khoa học|1|NÔNG HỌC|
133|204606|Khí tượng đại cương|2|NÔNG HỌC|
134|206901|Khuyến nông|2|NÔNG HỌC|
135|204805|Rèn nghề 1|1|NÔNG HỌC|
136|204805|Rèn nghề 1|1|NÔNG HỌC|
137|204612|Phương pháp thí nghiệm 2|3|NÔNG HỌC|
138|204716|Côn trùng đại cương|3|NÔNG HỌC|
139|204718|Côn trùng chuyên khoa|3|NÔNG HỌC|
140|204717|Bệnh cây chuyên khoa|3|NÔNG HỌC|
141|204730|Kiểm dịch thực vật|2|NÔNG HỌC|
142|204516|Cây CNNN 1a (mía + thuốc lá)|2|NÔNG HỌC|
143|204524|Cây CNNN 1b (mía + đay)|2|NÔNG HỌC|
144|204515|Cây CNNN 2a (cà phê + chè)|2|NÔNG HỌC|
145|204514|Cây CNNN 2 (Đậu phụng + Nành)|2|NÔNG HỌC|
146|204526|Cây CNNN 2b (Đậu nành + mè)|2|NÔNG HỌC|
147|204527|Cây CNNN 2x (Đậu phụng + mè)|2|NÔNG HỌC|
148|204611|Quản lý nước trong nông nghiệp|2|NÔNG HỌC|
149|204727|Môi trường nông nghiệp|2|NÔNG HỌC|
150|210232|CNCB dầu và chất béo TP|2|CN THỰC PHẨM|
151|212335|Nước thải & các QT xử lý nước|2|MÔI TRƯỜNG & TN|
152|213655|Anh văn tổng quát 1|3|CN THỰC PHẨM|
153|213656|Anh văn tổng quát 2|3|CN THỰC PHẨM|
154|210255|Hoá sinh đại cương|3|CN THỰC PHẨM|
155|210550|Dinh dưỡng đại cương|2|CN THỰC PHẨM|
156|210314|Tinh chất công nghệ vật liệu|2|CN THỰC PHẨM|
157|210952|Thực tập rèn nghề|1|CN THỰC PHẨM|
158|210354|Truyền nhiệt và truyền khối|2|CN THỰC PHẨM|
159|210355|Quá trình đông lạnh thực phẩm|2|CN THỰC PHẨM|
160|210454|Khoa học cảm quan thực phẩm|3|CN THỰC PHẨM|
161|210356|Bao bì thực phẩm|2|CN THỰC PHẨM|
162|210405|Nguyên lý bảo quản thực phẩm|2|CN THỰC PHẨM|
163|210552|N.lý đảm bảo CL trong CBTP|2|CN THỰC PHẨM|
164|210551|PP Phân tích thực phẩm|3|CN THỰC PHẨM|
165|210253|Công nghệ chế biến thức uống|3|CN THỰC PHẨM|
166|210254|CN chế biến dầu mỡ thực phẩm|2|CN THỰC PHẨM|
167|210315|"CN chế biến trà, cà phê, ca cao"|3|CN THỰC PHẨM|
168|207213|Kỹ thuật thực phẩm |3|CƠ KHÍ|
169|207228|Máy chế biến 2|3|CƠ KHÍ|
170|207115|Thực tập gia công|2|CƠ KHÍ|
171|207115|Thực tập gia công|2|CƠ KHÍ|
172|207116|"Tin học ứng dụng (CaD, OrCAD)"|2|CƠ KHÍ|
173|207609|Kỹ thuật ROBOT 2|3|CƠ KHÍ|
174|207703|"Cấu tạo động cơ Oto, máy kĐo"|3|CƠ KHÍ|
175|207402|Kỹ thuật lạnh |3|CƠ KHÍ|
176|207408|Năng lượng mặt trời và s.khối|3|CƠ KHÍ|
177|207424|Thiết bị sấy|3|CƠ KHÍ|
178|207703|"Cấu tạo động cơ oỔ, Máy kĐo"|3|CƠ KHÍ|
179|207716|Nh.liệu dầu mở và chất tẩy rửa|2|CƠ KHÍ|
