STT,Ma MH,Tên MH,TC,Khoa/BM quản lý,Khoa/BM đang sử dụng,Ghi chú
61,205813,Dự toán công trình nội thất ,2, LÂM NGHIỆP,,
62,204205,Chọn giống cây trồng,2,NÔNG HỌC,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
63,202403,Đa dạng sinh học,2,KHOA HỌC,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
64,202412,Sinh thái học,2,KHOA HỌC,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
65,208438,Quản trị dự án,2,KINH TẾ,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
66,204606,Khí tượng đại cương,2,NÔNG HỌC,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
67,216103,Giá thể và DD cây trồng,3,MÔI TRƯỜNG & TN,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
68,216103,Giá thể và DD cây trồng,3,MÔI TRƯỜNG & TN,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
69,216113,Sâu bệnh hại hoa kiểng,2,MÔI TRƯỜNG & TN,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
70,204715,Bệnh cây đại cương,3,NÔNG HỌC,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
71,216316,UD tr.học Đ.phương trong TKCQ,2,MÔI TRƯỜNG & TN,,Chỉ áp dụng cho SV khoa MTTN
72,208114,Luật kinh tế,2,KINH TẾ,,Chỉ áp dụng cho SV ngành Quản trị tài chính
73,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,
74,208529,Kiến tập chuyên ngành PT,2,KINH TẾ,,Chỉ áp dụng cho SV ngành Kinh doanh NN và chuyên ngành Kinh tế nông lâm
75,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,
76,208902,Marketing nông nghiệp,2,KINH TẾ,,
77,208616,Tiếng anh chuyên ngành,3,KINH TẾ,,
78,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,
79,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,
80,208403,Phương pháp NCKH Quản trị,2,KINH TẾ,,Chỉ áp dụng cho SV ngành Kinh tế nông lâm
81,208621,Phương pháp NCKH TN_MT,2,KINH TẾ,,Chỉ áp dụng cho SV ngành Kinh tế môi trường
82,208468,Phương pháp nghiên cứu KH,2,KINH TẾ,,Chỉ áp dụng cho SV ngành Kế toán
83,205221,Kinh tế tài nguyên môi trường,2,LÂM NGHIỆP,,Chỉ áp dụng cho SV ngành Kinh tế Tài nguyên môi trường
84,208349,Ngoại ngữ chuyên ngành,3,KINH TẾ,,
85,209509,Phong thủy ứng dụng,3,QUẢN LÝ ĐĐ & BĐS,,
86,208223,Kinh tế lượng ứng dụng,2,KINH TẾ,,
87,208519,Hệ thống thông tin địa lý,3,KINH TẾ,,
88,208501,Dự án phát triển,3,KINH TẾ,,
89,208504,Quản trị dự án lâm nghiệp,2,KINH TẾ,,Chỉ áp dụng cho SV ngành PT Nông thôn
90,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,
91,208911,Kế toán tài chính 4,3,KINH TẾ,,Chỉ áp dụng cho SV liên thông lên đại học ngành Kế toán
92,208912,Kế toán tài chính 5,3,KINH TẾ,,Chỉ áp dụng cho SV liên thông lên đại học ngành Kế toán
93,213201,Theory of translation,3,NGOẠI NGỮ SƯ PHẠM,,
94,215106,Tiếng Việt thực hành,2,NGOẠI NGỮ SƯ PHẠM,,
95,213501,Introduction to Literature,2,NGOẠI NGỮ SƯ PHẠM,,
96,213502,British Studies,2,NGOẠI NGỮ SƯ PHẠM,,
97,213503,American Studies,2,NGOẠI NGỮ SƯ PHẠM,,
98,213504,British Literature,3,NGOẠI NGỮ SƯ PHẠM,,
99,213505,American Literature,3,NGOẠI NGỮ SƯ PHẠM,,
100,213506,Lịch sử văn minh phương Tây,2,NGOẠI NGỮ SƯ PHẠM,,
101,213507,Lịch sử văn minh phương Đông,2,NGOẠI NGỮ SƯ PHẠM,,
102,213902,Phương pháp nghiên cứu KH,2,NGOẠI NGỮ SƯ PHẠM,,
103,213302,Educational Psychology,3,NGOẠI NGỮ SƯ PHẠM,,
104,213303,TESOL methodology 1,3,NGOẠI NGỮ SƯ PHẠM,,
105,213304,TESOL methodology 2,3,NGOẠI NGỮ SƯ PHẠM,,
106,213305,Classroom Obvervation,3,NGOẠI NGỮ SƯ PHẠM,,
107,213306,Teaching practice,3,NGOẠI NGỮ SƯ PHẠM,,
108,213908,Tổng hợp chuyên ngành,3,NGOẠI NGỮ SƯ PHẠM,,
109,209223,Phân tích và thiết kế HTTTNĐ,3,QUẢN LÝ ĐĐ & BĐS,,
110,209102,Trắc địa địa chính,3,QUẢN LÝ ĐĐ & BĐS,,
111,209106,Trắc địa đỉa ảnh hàng không,3,QUẢN LÝ ĐĐ & BĐS,,
112,209107,Viễn thám cơ sở,3,QUẢN LÝ ĐĐ & BĐS,,
113,209108,Viễn thám ứng dụng,2,QUẢN LÝ ĐĐ & BĐS,,
114,209112,Bản đồ địa hình,2,QUẢN LÝ ĐĐ & BĐS,,
115,209115,Kỹ thuật bản đồ số,2,QUẢN LÝ ĐĐ & BĐS,,Chỉ áp dụng cho SV ngành Công nghệ địa chính
116,209121,Lưu trữ hồ sơ địa chính,2,QUẢN LÝ ĐĐ & BĐS,,
117,209202,Kinh tế đất đai,2,QUẢN LÝ ĐĐ & BĐS,,
118,209409,Quản lý sàn giao dịch BĐS,2,QUẢN LÝ ĐĐ & BĐS,,
119,209416,Nguyên lý bất động sản,2,QUẢN LÝ ĐĐ & BĐS,,
120,209404,Luật đầu tư,2,QUẢN LÝ ĐĐ & BĐS,,,